tag	rating
Stand and Deliver (1988)	3
Moonstruck (1987)	4
Sandpiper, The (1965)	1
Jeremiah Johnson (1972)	2
Repulsion (1965)	2
Irma la Douce (1963)	4
42 Up (1998)	3
Liberty Heights (1999)	2
Mansfield Park (1999)	1
Sleepy Hollow (1999)	2
World Is Not Enough, The (1999)	2
All About My Mother (Todo sobre mi madre) (1999)	2
Babes in Toyland (1934)	3
Scrooged (1988)	2
Harvey (1950)	2
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948)	2
Matewan (1987)	3
Kagemusha (1980)	2
McCabe & Mrs. Miller (1971)	2
Maurice (1987)	2
Grapes of Wrath, The (1940)	2
My Man Godfrey (1957)	5
Shop Around the Corner, The (1940)	2
Natural, The (1984)	4
Shampoo (1975)	2
River Runs Through It, A (1992)	3
Fatal Attraction (1987)	2
Jagged Edge (1985)	4
Stanley & Iris (1990)	3
Midnight Run (1988)	3
Awakenings (1990)	1
Come See the Paradise (1990)	2
Backdraft (1991)	4
Fisher King, The (1991)	3
River, The (1984)	2
Places in the Heart (1984)	3
'night Mother (1986)	3
End of Days (1999)	2
Toy Story 2 (1999)	2
Flawless (1999)	2
Ride with the Devil (1999)	3
Distinguished Gentleman, The (1992)	3
End of the Affair, The (1999)	3
Holy Smoke (1999)	3
Sweet and Lowdown (1999)	3
Bonfire of the Vanities (1990)	2
Daddy Long Legs (1919)	3
Grand Illusion (La grande illusion) (1937)	3
Great Santini, The (1979)	2
Stealing Home (1988)	2
Two Jakes, The (1990)	2
U2: Rattle and Hum (1988)	4
Hell in the Pacific (1968)	3
Cradle Will Rock (1999)	3
Deuce Bigalow: Male Gigolo (1999)	2
Green Mile, The (1999)	3
Cider House Rules, The (1999)	2
War Zone, The (1999)	2
Last Picture Show, The (1971)	2
7th Voyage of Sinbad, The (1958)	2
Anna and the King (1999)	2
Bicentennial Man (1999)	3
Stuart Little (1999)	2
Emperor and the Assassin, The (Jing ke ci qin wang) (1999)	2
Fantasia 2000 (1999)	3
Magnolia (1999)	2
Onegin (1999)	1
Simpatico (1999)	3
Topsy-Turvy (1999)	1
Boiling Point (1993)	4
Carnal Knowledge (1971)	2
Easy Rider (1969)	3
The Falcon and the Snowman (1985)	2
Room at the Top (1959)	5
Any Given Sunday (1999)	2
Man on the Moon (1999)	2
Galaxy Quest (1999)	3
Talented Mr. Ripley, The (1999)	3
Next Friday (2000)	3
Hurricane, The (1999)	5
Angela's Ashes (1999)	5
Titus (1999)	3
Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)	2
Third Miracle, The (1999)	3
Snow Falling on Cedars (1999)	2
Girl, Interrupted (1999)	2
My Dog Skip (1999)	2
Supernova (2000)	1
Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)	3
Way We Were, The (1973)	2
Stalag 17 (1953)	3
Presidio, The (1988)	2
Papillon (1973)	1
Last Detail, The (1973)	4
Five Easy Pieces (1970)	3
Dead Calm (1989)	2
Boys from Brazil, The (1978)	3
Against All Odds (1984)	2
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993)	4
Fast Times at Ridgemont High (1982)	4
Cry in the Dark, A (1988)	3
Batman: Mask of the Phantasm (1993)	2
American Flyers (1985)	3
Star Is Born, A (1937)	2
Pacific Heights (1990)	4
Draughtsman's Contract, The (1982)	3
Zed & Two Noughts, A (1985)	1
Woman in the Dunes (Suna no onna) (1964)	4
Down to You (2000)	2
Odessa File, The (1974)	2
Where the Buffalo Roam (1980)	2
Eye of the Beholder (1999)	3
Big Tease, The (1999)	1
Cup, The (Phörpa) (1999)	4
Encino Man (1992)	2
Goodbye Girl, The (1977)	2
Malcolm X (1992)	2
Sister Act (1992)	4
Sister Act 2: Back in the Habit (1993)	1
Hand That Rocks the Cradle, The (1992)	2
Alive (1993)	2
Agnes of God (1985)	4
Scent of a Woman (1992)	2
Wayne's World (1992)	1
Wayne's World 2 (1993)	2
League of Their Own, A (1992)	1
Patriot Games (1992)	5
Bodyguard, The (1992)	5
Death Becomes Her (1992)	3
Far and Away (1992)	4
Howards End (1992)	3
Singles (1992)	5
Twin Peaks: Fire Walk with Me (1992)	2
White Men Can't Jump (1992)	3
Buffy the Vampire Slayer (1992)	3
Hard-Boiled (Lat sau san taam) (1992)	3
Man Bites Dog (C'est arrivé près de chez vous) (1992)	4
Mariachi, El (1992)	4
Stop! Or My Mom Will Shoot (1992)	2
Forever Young (1992)	2
Cutting Edge, The (1992)	3
Of Mice and Men (1992)	3
Bad Lieutenant (1992)	3
Scream 3 (2000)	2
Single White Female (1992)	2
Boondock Saints, The (2000)	2
Gun Shy (2000)	1
Baby, The (1973)	1
Brandon Teena Story, The (1998)	3
Minnie and Moskowitz (1971)	2
They Might Be Giants (1971)	3
Beach, The (2000)	2
Snow Day (2000)	4
Tigger Movie, The (2000)	3
Not One Less (Yi ge dou bu neng shao) (1999)	4
Eaten Alive (1977)	2
Raining Stones (1993)	4
To Sir with Love (1967)	3
Boiler Room (2000)	2
Hanging Up (2000)	5
Pitch Black (2000)	3
Whole Nine Yards, The (2000)	3
Beautiful People (1999)	3
Black Tar Heroin: The Dark End of the Street (2000)	4
Circus, The (1928)	2
City Lights (1931)	4
Flamingo Kid, The (1984)	4
Kid, The (1921)	5
Class Reunion (1982)	5
Happy Go Lovely (1951)	3
Reindeer Games (2000)	3
Wonder Boys (2000)	4
Chain of Fools (2000)	3
Drowning Mona (2000)	4
Next Best Thing, The (2000)	4
What Planet Are You From? (2000)	3
Beyond the Mat (1999)	4
Ghost Dog: The Way of the Samurai (1999)	4
The Year My Voice Broke (1987)	3
Splendor in the Grass (1961)	2
My Tutor (1983)	3
Key Largo (1948)	4
For All Mankind (1989)	3
Born Yesterday (1950)	4
Birdy (1984)	4
Blood Feast (1963)	4
Charlie, the Lonesome Cougar (1967)	5
Never Cry Wolf (1983)	5
Raisin in the Sun, A (1961)	4
Closer You Get, The (2000)	3
Mission to Mars (2000)	2
Ninth Gate, The (1999)	2
East-West (Est-ouest) (1999)	2
Defending Your Life (1991)	3
Breaking Away (1979)	2
Hoosiers (a.k.a. Best Shot) (1986)	2
Bull Durham (1988)	3
Dog Day Afternoon (1975)	2
American Graffiti (1973)	2
Asphalt Jungle, The (1950)	2
Searchers, The (1956)	3
Big Country, The (1958)	3
Betrayed (1988)	1
Bridge at Remagen, The (1969)	3
Daughters of the Dust (1991)	5
Ogre, The (Unhold, Der) (1996)	1
On the Beach (1959)	5
Taking of Pelham One Two Three, The (1974)	3
Volunteers (1985)	4
JFK (1991)	3
Who's Harry Crumb? (1989)	3
Harry and the Hendersons (1987)	2
Let's Get Harry (1986)	3
Shanghai Surprise (1986)	3
Who's That Girl? (1987)	3
She-Devil (1989)	3
Date with an Angel (1987)	2
Blind Date (1987)	3
Nadine (1987)	3
Muppet Movie, The (1979)	1
Great Muppet Caper, The (1981)	3
Muppets Take Manhattan, The (1984)	2
We're Back! A Dinosaur's Story (1993)	3
Baby... Secret of the Lost Legend (1985)	3
Turtle Diary (1985)	2
Raise the Titanic (1980)	3
Titanic (1953)	3
Night to Remember, A (1958)	2
Captain Horatio Hornblower R.N. (1951)	1
Erin Brockovich (2000)	2
Final Destination (2000)	3
Soft Fruit (1999)	5
Bear, The (Ours, L') (1988)	2
Love Is a Many-Splendored Thing (1955)	1
Mirror, The (Zerkalo) (1975)	2
Crimson Pirate, The (1952)	2
Thelma & Louise (1991)	3
...And Justice for All (1979)	1
Animal House (1978)	1
She's Gotta Have It (1986)	4
School Daze (1988)	3
Do the Right Thing (1989)	4
Mo' Better Blues (1990)	2
Jungle Fever (1991)	3
Champ, The (1979)	3
Creature Comforts (1989)	2
Death Wish (1974)	1
Death Wish 2 (1982)	2
Death Wish 3 (1985)	2
Death Wish 4: The Crackdown (1987)	2
Death Wish 5: The Face of Death (1994)	2
Double Indemnity (1944)	3
Dying Young (1991)	2
Teenage Mutant Ninja Turtles (1990)	4
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)	4
Teenage Mutant Ninja Turtles III (1993)	2
Red Dawn (1984)	2
Band of the Hand (1986)	2
Bloodsport (1988)	4
Eyes of Laura Mars (1978)	5
Funny Bones (1995)	3
Good Earth, The (1937)	1
Good Morning, Vietnam (1987)	2
Good Mother, The (1988)	2
Grumpy Old Men (1993)	3
Guess Who's Coming to Dinner (1967)	3
Romeo Must Die (2000)	2
Here on Earth (2000)	1
Whatever It Takes (2000)	3
Buddy Boy (1999)	3
Color of Paradise, The (Rang-e khoda) (1999)	2
Gothic (1986)	3
Lord of the Flies (1963)	3
Modern Times (1936)	2
Heart and Souls (1993)	3
Hud (1963)	2
Hustler, The (1961)	3
Inherit the Wind (1960)	2
Dersu Uzala (1975)	1
Close Encounters of the Third Kind (1977)	2
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976)	1
Retroactive (1997)	3
Place in the Sun, A (1951)	2
Jacob's Ladder (1990)	3
Empire Records (1995)	1
Bamba, La (1987)	2
Ladyhawke (1985)	3
Lucas (1986)	3
High Fidelity (2000)	2
Road to El Dorado, The (2000)	2
Skulls, The (2000)	1
Hook (1991)	1
Son of the Sheik, The (1926)	2
True Grit (1969)	2
Madame Sousatzka (1988)	2
Max Dugan Returns (1983)	2
Midnight Express (1978)	2
Misery (1990)	2
Mr. Saturday Night (1992)	2
Murphy's Romance (1985)	2
My Life (1993)	3
Solaris (Solyaris) (1972)	3
Network (1976)	2
No Way Out (1987)	2
North Dallas Forty (1979)	3
Odd Couple, The (1968)	2
Outlaw Josey Wales, The (1976)	3
Frequency (2000)	3
Ready to Rumble (2000)	4
Return to Me (2000)	2
Rules of Engagement (2000)	3
Joe Gould's Secret (2000)	5
Me Myself I (2000)	2
Bell, Book and Candle (1958)	3
Force 10 from Navarone (1978)	3
Mystery Train (1989)	1
Arthur (1981)	2
Bachelor Party (1984)	2
Parenthood (1989)	3
Predator (1987)	3
Prince of Tides, The (1991)	2
Postman Always Rings Twice, The (1981)	3
All the Vermeers in New York (1990)	3
28 Days (2000)	3
American Psycho (2000)	4
Keeping the Faith (2000)	2
Where the Money Is (2000)	3
East is East (1999)	2
Filth and the Fury, The (2000)	3
Diner (1982)	3
Shakes the Clown (1992)	2
Cabaret (1972)	1
What Ever Happened to Baby Jane? (1962)	3
Auntie Mame (1958)	2
Guys and Dolls (1955)	2
The Hunger (1983)	4
Marathon Man (1976)	2
Caddyshack (1980)	4
Gossip (2000)	3
Love and Basketball (2000)	2
U-571 (2000)	3
Virgin Suicides, The (1999)	2
Jennifer 8 (1992)	2
Limelight (1952)	3
Crow: Salvation, The (2000)	3
Flintstones in Viva Rock Vegas, The (2000)	2
Where the Heart Is (2000)	2
Big Kahuna, The (2000)	2
Bossa Nova (2000)	4
Smiling Fish and Goat on Fire (1999)	3
Idiots, The (Idioterne) (1998)	3
Time Code (2000)	2
Carnosaur (1993)	4
Carnosaur 2 (1995)	3
Carnosaur 3: Primal Species (1996)	3
Hidden, The (1987)	3
Two Moon Junction (1988)	3
Gladiator (2000)	3
Up at the Villa (2000)	3
Human Traffic (1999)	3
Breathless (1983)	2
The Idolmaker (1980)	3
Inferno (1980)	3
Lords of Flatbush, The (1974)	2
Mr. Mom (1983)	4
Time Masters (Maîtres du temps, Les) (1982)	3
Battlefield Earth (2000)	4
Center Stage (2000)	3
Screwed (2000)	3
Whipped (2000)	2
Hamlet (2000)	2
Anchors Aweigh (1945)	3
Gypsy (1962)	3
On the Town (1949)	3
Pee-wee's Big Adventure (1985)	2
Regret to Inform (1998)	2
Honeymoon in Vegas (1992)	4
Dinosaur (2000)	3
Loser (2000)	4
Road Trip (2000)	3
Small Time Crooks (2000)	3
Hollywood Knights, The (1980)	3
Twelve Chairs, The (1970)	3
Mission: Impossible II (2000)	3
Shanghai Noon (2000)	2
Better Living Through Circuitry (1999)	2
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999)	3
Carnival of Souls (1962)	3
Flying Tigers (1942)	3
Gold Rush, The (1925)	4
Monsieur Verdoux (1947)	2
On Her Majesty's Secret Service (1969)	2
Seven Days in May (1964)	2
Spy Who Loved Me, The (1977)	3
Vagabond (Sans toit ni loi) (1985)	2
Moonraker (1979)	2
Man with the Golden Gun, The (1974)	3
King in New York, A (1957)	3
Woman of Paris, A (1923)	3
Fighting Seabees, The (1944)	2
Big Momma's House (2000)	3
Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)	3
American Gigolo (1980)	2
City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi) (1980)	3
Endless Summer, The (1966)	1
Guns of Navarone, The (1961)	2
Blow-Out (La grande bouffe) (1973)	3
Quatermass and the Pit (1967)	4
Puppet Master (1989)	2
Puppet Master II (1991)	4
Puppet Master III: Toulon's Revenge (1991)	1
Puppet Master 4 (1993)	2
Puppet Master 5: The Final Chapter (1994)	2
Rent-A-Cop (1988)	3
Romeo and Juliet (1968)	3
Stay Tuned (1992)	3
Blazing Saddles (1974)	4
Benji (1974)	3
Benji the Hunted (1987)	2
For the Love of Benji (1977)	3
White Christmas (1954)	3
Eraserhead (1977)	3
Baraka (1992)	2
Man with the Golden Arm, The (1955)	4
Decline of Western Civilization, The (1981)	2
Decline of Western Civilization Part II: The Metal Years, The (1988)	3
For a Few Dollars More (Per qualche dollaro in più) (1965)	2
Magnum Force (1973)	2
Blood Simple (1984)	3
Fabulous Baker Boys, The (1989)	2
Prizzi's Honor (1985)	2
Flatliners (1990)	2
Light Years (Gandahar) (1988)	1
Porky's (1982)	3
Porky's II: The Next Day (1983)	2
Porky's Revenge (1985)	3
Private School (1983)	2
Class of Nuke 'Em High (1986)	3
Toxic Avenger, The (1985)	3
Toxic Avenger, Part II, The (1989)	4
Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)	3
Night of the Creeps (1986)	2
Predator 2 (1990)	1
Running Man, The (1987)	2
Starman (1984)	2
Brother from Another Planet, The (1984)	2
Alien Nation (1988)	2
Mad Max (1979)	3
Road Warrior, The (Mad Max 2) (1981)	1
Mad Max Beyond Thunderdome (1985)	2
Bird on a Wire (1990)	4
Angel Heart (1987)	3
9 1/2 Weeks (Nine 1/2 Weeks) (1986)	3
Firestarter (1984)	2
Sleepwalkers (1992)	4
Action Jackson (1988)	1
Sarafina! (1992)	3
Soapdish (1991)	3
Long Walk Home, The (1990)	3
Clara's Heart (1988)	3
Burglar (1987)	3
Fatal Beauty (1987)	1
Gone in 60 Seconds (2000)	1
Love's Labour's Lost (2000)	3
Sunshine (1999)	2
Hamlet (1990)	3
Coming Home (1978)	3
American Pop (1981)	2
Assault on Precinct 13 (1976)	2
Near Dark (1987)	3
One False Move (1992)	4
Shaft (1971)	1
Conversation, The (1974)	3
Cutter's Way (1981)	2
Fury, The (1978)	2
Paper Chase, The (1973)	4
Serpico (1973)	1
Ace in the Hole (Big Carnival, The) (1951)	2
Lonely Are the Brave (1962)	1
Sugarland Express, The (1974)	2
Trouble in Paradise (1932)	5
Big Trouble in Little China (1986)	2
Badlands (1973)	3
Battleship Potemkin (1925)	1
Boys and Girls (2000)	4
Shaft (2000)	4
Titan A.E. (2000)	2
Butterfly (La lengua de las mariposas) (1999)	2
Jesus' Son (1999)	2
Chicken Run (2000)	3
Me, Myself & Irene (2000)	3
Patriot, The (2000)	3
Adventures of Rocky and Bullwinkle, The (2000)	2
Perfect Storm, The (2000)	2
Golden Bowl, The (2000)	2
Communion (1989)	3
Kentucky Fried Movie, The (1977)	2
Blood In, Blood Out (1993)	3
F/X (1986)	4
F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991)	2
Hot Spot, The (1990)	3
Missing in Action (1984)	3
Missing in Action 2: The Beginning (1985)	3
Braddock: Missing in Action III (1988)	3
Thunderbolt and Lightfoot (1974)	2
Dreamscape (1984)	2
The Golden Voyage of Sinbad (1973)	1
House Party (1990)	2
House Party 2 (1991)	3
Croupier (1998)	5
Kid, The (2000)	4
Scary Movie (2000)	3
But I'm a Cheerleader (1999)	5
Shower (Xizao) (1999)	5
Blow-Up (Blowup) (1966)	3
Pawnbroker, The (1964)	5
Groove (2000)	2
Footloose (1984)	4
Duel in the Sun (1946)	2
X-Men (2000)	3
Chuck & Buck (2000)	2
Five Senses, The (1999)	2
In Crowd, The (2000)	3
What Lies Beneath (2000)	2
Pokémon the Movie 2000 (2000)	3
Anatomy of a Murder (1959)	4
Freejack (1992)	3
Mackenna's Gold (1969)	3
Sinbad and the Eye of the Tiger (1977)	3
Two Women (Ciociara, La) (1960)	2
What About Bob? (1991)	3
White Sands (1992)	4
Breaker Morant (1980)	2
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972)	2
Interiors (1978)	5
Love and Death (1975)	2
Official Story, The (La historia oficial) (1985)	3
Tampopo (1985)	2
Nutty Professor II: The Klumps (2000)	3
Girl on the Bridge, The (Fille sur le pont, La) (1999)	1
Wonderland (1999)	2
Autumn in New York (2000)	4
Coyote Ugly (2000)	2
Hollow Man (2000)	2
Space Cowboys (2000)	1
Psycho Beach Party (2000)	1
Saving Grace (2000)	4
Black Sabbath (Tre volti della paura, I) (1963)	1
Brain That Wouldn't Die, The (1962)	1
Bronco Billy (1980)	2
Crush, The (1993)	4
Kelly's Heroes (1970)	2
Phantasm II (1988)	3
Phantasm III: Lord of the Dead (1994)	1
Phantasm IV: Oblivion (1998)	3
Pumpkinhead (1988)	3
Air America (1990)	2
Sleepaway Camp (1983)	2
Steel Magnolias (1989)	2
And God Created Woman (Et Dieu... créa la femme) (1956)	2
Easy Money (1983)	2
Ilsa, She Wolf of the SS (1974)	2
The Spiral Staircase (1945)	2
I'm the One That I Want (2000)	3
Tao of Steve, The (2000)	2
Affair of Love, An (Liaison pornographique, Une) (1999)	2
Bless the Child (2000)	3
Cecil B. DeMented (2000)	2
Eyes of Tammy Faye, The (2000)	2
Replacements, The (2000)	2
About Adam (2000)	2
Cell, The (2000)	2
Godzilla 2000 (Gojira ni-sen mireniamu) (1999)	5
Original Kings of Comedy, The (2000)	2
Naked Gun: From the Files of Police Squad!, The (1988)	2
Naked Gun 2 1/2: The Smell of Fear, The (1991)	2
Our Town (1940)	1
Shane (1953)	3
Suddenly, Last Summer (1959)	3
Cat Ballou (1965)	5
Supergirl (1984)	2
Art of War, The (2000)	2
Bring It On (2000)	3
Crew, The (2000)	2
Skipped Parts (2000)	2
Highlander: Endgame (Highlander IV) (2000)	3
Nurse Betty (2000)	4
Solas (1999)	2
Watcher, The (2000)	2
Way of the Gun, The (2000)	3
Almost Famous (2000)	3
Bait (2000)	2
Circus (2000)	2
Crime and Punishment in Suburbia (2000)	4
Duets (2000)	3
Under Suspicion (2000)	5
Urban Legends: Final Cut (2000)	3
Woman on Top (2000)	2
Dancer in the Dark (2000)	2
Best in Show (2000)	2
Beautiful (2000)	2
Broken Hearts Club, The (2000)	2
Girlfight (2000)	3
Remember the Titans (2000)	2
Hellraiser (1987)	2
Hellbound: Hellraiser II (1988)	3
Hellraiser III: Hell on Earth (1992)	3
Faraway, So Close (In weiter Ferne, so nah!) (1993)	3
Bikini Beach (1964)	2
Stranger Than Paradise (1984)	2
Voyage to the Bottom of the Sea (1961)	2
Fantastic Voyage (1966)	2
Abbott and Costello Meet Frankenstein (1948)	2
Bank Dick, The (1940)	3
Creature from the Black Lagoon, The (1954)	3
Invisible Man, The (1933)	3
Killer Shrews, The (1959)	2
Runaway (1984)	2
Slumber Party Massacre, The (1982)	2
Slumber Party Massacre II (1987)	3
Slumber Party Massacre III (1990)	3
Sorority House Massacre (1986)	2
Sorority House Massacre II (1990)	3
Bamboozled (2000)	3
Digimon: The Movie (2000)	3
Get Carter (2000)	3
Get Carter (1971)	3
Meet the Parents (2000)	3
Requiem for a Dream (2000)	3
Tigerland (2000)	2
Two Family House (2000)	2
Contender, The (2000)	2
Dr. T and the Women (2000)	2
Ladies Man, The (2000)	2
Billy Jack (1971)	2
Billy Jack Goes to Washington (1977)	3
Time Machine, The (1960)	2
Ghoulies II (1987)	3
Unsinkable Molly Brown, The (1964)	2
Adventures of Ichabod and Mr. Toad, The (1949)	2
Strange Love of Martha Ivers, The (1946)	2
Detour (1945)	2
Billy Elliot (2000)	4
Bedazzled (2000)	3
Pay It Forward (2000)	3
Private Eyes, The (1981)	4
Legend of Drunken Master, The (Jui kuen II) (1994)	3
Book of Shadows: Blair Witch 2 (2000)	2
Little Vampire, The (2000)	2
Charlie's Angels (2000)	1
Legend of Bagger Vance, The (2000)	4
Little Nicky (2000)	3
Men of Honor (2000)	2
Red Planet (2000)	2
You Can Count on Me (2000)	3
Diamonds Are Forever (1971)	3
Eagle Has Landed, The (1976)	1
6th Day, The (2000)	2
Bounce (2000)	1
How the Grinch Stole Christmas (a.k.a. The Grinch) (2000)	1
One Day in September (1999)	3
Rugrats in Paris: The Movie (2000)	1
102 Dalmatians (2000)	4
Malèna (2000)	4
Quills (2000)	5
Unbreakable (2000)	3.5
Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)	3
Dungeons & Dragons (2000)	4.5
Proof of Life (2000)	4.5
Vertical Limit (2000)	3.5
Bounty, The (1984)	4
Planes, Trains & Automobiles (1987)	5
She's Having a Baby (1988)	4.5
Living Daylights, The (1987)	5
Transformers: The Movie (1986)	3
Wall Street (1987)	5
Born on the Fourth of July (1989)	5
Talk Radio (1988)	5
Brewster's Millions (1985)	4.5
Snatch (2000)	5
Punchline (1988)	3
Chocolat (2000)	5
Dude, Where's My Car? (2000)	3.5
Emperor's New Groove, The (2000)	2.5
Pollock (2000)	4
What Women Want (2000)	4
Finding Forrester (2000)	4.5
Gift, The (2000)	5
Before Night Falls (2000)	3.5
Cast Away (2000)	3
Family Man, The (2000)	4
House of Mirth, The (2000)	4
Miss Congeniality (2000)	3.5
O Brother, Where Art Thou? (2000)	3.5
State and Main (2000)	2
Dracula 2000 (2000)	4.5
All the Pretty Horses (2000)	5
Everlasting Piece, An (2000)	4.5
Thirteen Days (2000)	4.5
Traffic (2000)	3
Claim, The (2000)	3
Shadow of the Vampire (2000)	3.5
House of Games (1987)	4.5
Annie (1982)	5
Don't Tell Mom the Babysitter's Dead (1991)	4.5
Officer and a Gentleman, An (1982)	5
Alamo, The (1960)	5
At Close Range (1986)	4.5
Friendly Persuasion (1956)	3.5
Gettysburg (1993)	3
Horrors of Spider Island (Ein Toter Hing im Netz) (1960)	5
Antitrust (2001)	4
Double Take (2001)	3
Save the Last Dance (2001)	4.5
Panic (2000)	4.5
Pledge, The (2001)	3
The Man in the Moon (1991)	3
Mystic Pizza (1988)	2
Prelude to a Kiss (1992)	5
Coffy (1973)	3.5
Foxy Brown (1974)	5
I'm Gonna Git You Sucka (1988)	5
Untamed Heart (1993)	2
Sugar & Spice (2001)	4
Wedding Planner, The (2001)	4
Legend of Rita, The (Stille nach dem Schuß, Die) (1999)	3.5
With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)	2.5
Amazing Grace and Chuck (1987)	3.5
Amazon Women on the Moon (1987)	4.5
Baby Boom (1987)	4
Back to the Beach (1987)	5
Barfly (1987)	5
Best Seller (1987)	4
Beverly Hills Cop II (1987)	4.5
Beverly Hills Cop (1984)	4.5
Big Easy, The (1987)	3
Born in East L.A. (1987)	3
Brave Little Toaster, The (1987)	4
Can't Buy Me Love (1987)	3.5
Cherry 2000 (1987)	2.5
Cop (1988)	5
Eddie Murphy Raw (1987)	4.5
Empire of the Sun (1987)	4
Ernest Goes to Camp (1987)	4.5
Evil Dead, The (1981)	4.5
Flowers in the Attic (1987)	2
Fourth Protocol, The (1987)	3.5
Gardens of Stone (1987)	5
Glass Menagerie, The (1987)	4
Hiding Out (1987)	5
Hollywood Shuffle (1987)	2
Hope and Glory (1987)	3.5
Innerspace (1987)	2.5
Ishtar (1987)	5
Jaws: The Revenge (1987)	4.5
Leonard Part 6 (1987)	4.5
Less Than Zero (1987)	1
Like Father, Like Son (1987)	5
Lost Boys, The (1987)	4.5
Made in Heaven (1987)	4.5
Maid to Order (1987)	2.5
Making Mr. Right (1987)	5
Mannequin (1987)	4
Masters of the Universe (1987)	4
Monster Squad, The (1987)	5
My Demon Lover (1987)	5
No Man's Land (1987)	5
Head Over Heels (2001)	3
Left Behind: The Movie (2000)	5
Valentine (2001)	3.5
In the Mood For Love (Fa yeung nin wa) (2000)	3
Million Dollar Hotel, The (2001)	3.5
Nico and Dani (Krámpack) (2000)	5
Hannibal (2001)	5
Saving Silverman (Evil Woman) (2001)	5
Vatel (2000)	3.5
Down to Earth (2001)	4
Recess: School's Out (2001)	4
Sweet November (2001)	3.5
Company Man (2000)	3
Price of Milk, The (2000)	3
Monkeybone (2001)	1
3000 Miles to Graceland (2001)	1.5
Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000)	5
Mexican, The (2001)	3
Caveman's Valentine, The (2001)	3
Series 7: The Contenders (2001)	4.5
15 Minutes (2001)	2.5
Get Over It (2001)	3
Long Night's Journey Into Day (2000)	2
Avalon (1990)	1
Gray's Anatomy (1996)	5
Of Mice and Men (1939)	3
Reform School Girls (1986)	4.5
Tapeheads (1988)	2.5
Bishop's Wife, The (1947)	3.5
Lilies of the Field (1963)	4
Greatest Story Ever Told, The (1965)	2.5
Elmer Gantry (1960)	4.5
Alfie (1966)	3.5
Fantasticks, The (1995)	4.5
I Know Where I'm Going! (1945)	3
Abominable Dr. Phibes, The (1971)	3.5
Real Life (1979)	2.5
Battle Beyond the Stars (1980)	3.5
Double Impact (1991)	0.5
Fuzz (1972)	2.5
Harley Davidson and the Marlboro Man (1991)	3.5
Losin' It (1983)	2
Mermaids (1990)	4
Navy Seals (1990)	4.5
Manhunter (1986)	4
Reversal of Fortune (1990)	3.5
Death on the Nile (1978)	3.5
Revenge of the Nerds (1984)	4
Revenge of the Nerds II: Nerds in Paradise (1987)	4
4 Little Girls (1997)	5
River's Edge (1986)	2.5
Girls Just Want to Have Fun (1985)	3.5
Longest Yard, The (1974)	4
Necessary Roughness (1991)	3.5
Enemy at the Gates (2001)	3.5
Exit Wounds (2001)	0.5
Dish, The (2001)	5
Memento (2000)	0.5
Heartbreakers (2001)	3.5
Say It Isn't So (2001)	5
Someone Like You (2001)	3.5
Spy Kids (2001)	4
Tomcats (2001)	3.5
Tailor of Panama, The (2001)	1.5
Amores Perros (Love's a Bitch) (2000)	0.5
Keep the River on Your Right: A Modern Cannibal Tale (2000)	2
Gleaners & I, The (Les glaneurs et la glaneuse) (2000)	3
Along Came a Spider (2001)	3.5
Blow (2001)	3.5
Just Visiting (2001)	3
Pokémon 3: The Movie (2001)	2
Beautiful Creatures (2000)	3.5
Brigham City (2001)	1.5
Bridget Jones's Diary (2001)	3
Joe Dirt (2001)	3
Josie and the Pussycats (2001)	4
Chopper (2000)	3
Circle, The (Dayereh) (2000)	3.5
Crocodile Dundee in Los Angeles (2001)	1
Freddy Got Fingered (2001)	3.5
Center of the World, The (2001)	3.5
Luzhin Defence, The (2000)	3.5
Visit, The (2000)	0.5
Scarface (1983)	2.5
Days of Wine and Roses (1962)	1.5
Driven (2001)	3
One Night at McCool's (2001)	4
Town & Country (2001)	4.5
Mummy Returns, The (2001)	3.5
Under the Sand (2000)	4
Krull (1983)	4
Lost in America (1985)	5
Triumph of the Will (Triumph des Willens) (1934)	5
World According to Garp, The (1982)	4.5
Fellini Satyricon (1969)	4
Frankie and Johnny (1966)	4
Frankie and Johnny (1991)	4
City of Women, The (Città delle donne, La) (1980)	3
For the Boys (1991)	2
Nine to Five (a.k.a. 9 to 5) (1980)	5
Norma Rae (1979)	3
Summer Rental (1985)	3.5
5,000 Fingers of Dr. T, The (1953)	4
Love Story (1970)	0.5
